2021-10-10 00:10:701 INFO  HomePage :22 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (4c4b218d276d911b5e9a687e20179b33)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 00:10:832 INFO  HomePage :30 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (4c4b218d276d911b5e9a687e20179b33)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 00:10:868 INFO  HomePage :26 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (4c4b218d276d911b5e9a687e20179b33)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 00:10:282 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 00:10:306 INFO  BookingPage :30 - Getting Days and Prices[[ChromeDriver: chrome on WINDOWS (4c4b218d276d911b5e9a687e20179b33)] -> xpath: //div[@id = 'price-pin_pin-container']]
2021-10-10 15:10:201 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:87 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:426 INFO  HomePage :25 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (5a7675cb546ae10679459c1628178933)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:562 INFO  HomePage :37 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (5a7675cb546ae10679459c1628178933)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:683 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:451 INFO  HomePage :25 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (c3a4ab1f3d30095a7fbf3c8f37eac538)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:592 INFO  HomePage :37 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (c3a4ab1f3d30095a7fbf3c8f37eac538)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:904 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:883 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (da06e5bfe860844bdfc1c643547cb6fc)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:33 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (da06e5bfe860844bdfc1c643547cb6fc)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 15:10:158 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 15:10:790 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (35427ca183b56ce341e2244976766276)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 15:10:943 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (35427ca183b56ce341e2244976766276)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
